Age of air (ybp)	Temperature anomaly (deg. C)	Carbon dioxide concentration (ppm)
58514	-5.21	208.226087
58594	-5.66	208.0086957
58676	-5.86	207.7913043
58759	-6.06	207.573913
58842	-5.93	207.3565217
58925	-5.85	207.1391304
59008	-6.04	206.9217391
59093	-6.41	206.7043478
59178	-6.31	206.4869565
59262	-5.86	206.2695652
59345	-5.85	206.0521739
59428	-6.03	205.8347826
59511	-5.86	205.6173913
59593	-5.53	205.4
59674	-5.53	205.1826087
59755	-5.53	204.9652174
59836	-5.81	204.7478261
59921	-6.49	204.5304348
60007	-6.53	204.3130435
60093	-6.15	204.0956522
60177	-6.11	203.8782609
60262	-6.2	203.6608696
60348	-6.45	203.4434783
60433	-6.3	203.226087
60519	-6.28	203.0086957
60605	-6.53	202.7913043
60692	-6.58	202.573913
60779	-6.61	202.3565217
60869	-7.31	202.1391304
60961	-7.48	201.9217391
61052	-6.98	201.7043478
61141	-6.81	201.4869565
61229	-6.53	201.2695652
61317	-6.88	201.0521739
61406	-6.86	200.8347826
61496	-7	200.6173913
61586	-7.26	200.4
61677	-6.86	200.1826087
61765	-6.5	199.9652174
61852	-6.6	199.7478261
61941	-7	199.5304348
62031	-7.1	199.3130435
62121	-7.05	199.0956522
62213	-7.44	198.8782609
62307	-7.72	198.6608696
62401	-7.64	198.4434783
62497	-8.09	198.226087
62594	-8.02	198.0086957
62689	-7.67	197.7913043
62783	-7.54	197.573913
62877	-7.51	197.3565217
62970	-7.51	197.1391304
63064	-7.51	196.9217391
63157	-7.51	196.7043478
63249	-7.11	196.4869565
63338	-6.43	196.2695652
63424	-6.26	196.0521739
63512	-6.84	195.8347826
63600	-6.66	195.6173913
63687	-6.535	195.4
63688	-6.41	195.226087
63776	-6.83	195.0521739
63865	-6.82	194.8782609
63954	-6.79	194.7043478
64043	-6.94	194.5304348
64134	-7.27	194.3565217
64228	-7.7	194.1826087
64322	-7.55	194.0086957
64416	-7.4	193.8347826
64510	-7.91	193.6608696
64605	-7.43	193.4869565
64698	-7.49	193.3130435
64793	-7.97	193.1391304
64890	-7.92	192.9652174
64987	-8.17	192.7913043
65085	-7.98	192.6173913
65182	-7.95	192.4434783
65278	-7.76	192.2695652
65371	-7.25	192.0956522
65464	-7.49	191.9217391
65559	-7.71	191.7478261
65655	-8.15	191.573913
65701	-8.5	191.4
65756	-8.85	191.6769231
65855	-7.75	191.9538462
65949	-7.4	192.2307692
66045	-8.21	192.5076923
66144	-8.31	192.7846154
66243	-8.06	193.0615385
66338	-7.33	193.3384615
66429	-6.88	193.6153846
66520	-7.07	193.8923077
66613	-7.73	194.1692308
66708	-7.76	194.4461538
66803	-7.54	194.7230769
66883	-7.635	195
66898	-7.73	195.4695652
66992	-7.44	195.9391304
67085	-7.22	196.4086957
67178	-7.47	196.8782609
67272	-7.63	197.3478261
67367	-7.52	197.8173913
67462	-7.8	198.2869565
67557	-7.71	198.7565217
67653	-7.86	199.226087
67750	-8.15	199.6956522
67848	-8.04	200.1652174
67945	-7.89	200.6347826
68041	-7.55	201.1043478
68136	-7.8	201.573913
68233	-8.27	202.0434783
68330	-7.65	202.5130435
68424	-7.45	202.9826087
68520	-8.01	203.4521739
68617	-7.94	203.9217391
68715	-8.2	204.3913043
68811	-7.59	204.8608696
68902	-6.36	205.3304348
68987	-5.81	205.8
69071	-6.12	206.2695652
69155	-5.62	206.7391304
69238	-5.75	207.2086957
69324	-6.69	207.6782609
69413	-6.92	208.1478261
69506	-7.54	208.6173913
69599	-7.33	209.0869565
69691	-6.97	209.5565217
69780	-6.55	210.026087
69869	-6.75	210.4956522
69959	-7.31	210.9652174
70054	-7.84	211.4347826
70149	-7.72	211.9043478
70243	-7.05	212.373913
70334	-7.08	212.8434783
70425	-7.26	213.3130435
70515	-6.52	213.7826087
70600	-5.67	214.2521739
70683	-5.67	214.7217391
70766	-5.67	215.1913043
70848	-5.66	215.6608696
70931	-5.66	216.1304348
71013	-5.7	216.6
71096	-5.75	217.0695652
71180	-5.93	217.5391304
71264	-5.99	218.0086957
71347	-5.44	218.4782609
71427	-5.15	218.9478261
71506	-4.6	219.4173913
71584	-5.3	219.8869565
71664	-5.2	220.3565217
71743	-4.81	220.826087
71822	-5.36	221.2956522
71905	-6.13	221.7652174
71989	-5.55	222.2347826
72070	-5.38	222.7043478
72152	-5.69	223.173913
72235	-5.81	223.6434783
72318	-5.82	224.1130435
72403	-6.28	224.5826087
72489	-6.53	225.0521739
72578	-6.89	225.5217391
72666	-6.39	225.9913043
72753	-6.64	226.4608696
72840	-5.97	226.9304348
72849	-5.63	227.4
72922	-5.29	227.46
73003	-5.77	227.52
73087	-6	227.58
73172	-6.31	227.64
73258	-6.44	227.7
73347	-7.1	227.76
73440	-7.81	227.82
73533	-6.96	227.88
73620	-6.1	227.94
73706	-6.61	228
73795	-7.12	228.06
73885	-6.85	228.12
73973	-6.45	228.18
74060	-6.56	228.24
74150	-7.17	228.3
74238	-6.31	228.36
74322	-5.91	228.42
74405	-5.62	228.48
74484	-4.74	228.54
74565	-6.03	228.6
74651	-6.92	228.66
74738	-5.87	228.72
74821	-5.85	228.78
74903	-5.68	228.84
74985	-5.61	228.9
75066	-5.41	228.96
75147	-5.72	229.02
75229	-5.42	229.08
75308	-5.12	229.14
75360	-5.22	229.2
75388	-5.32	228.9369565
75468	-5.41	228.673913
75547	-5.13	228.4108696
75625	-4.66	228.1478261
75701	-4.53	227.8847826
75776	-4.39	227.6217391
75850	-4.35	227.3586957
75928	-5.41	227.0956522
76007	-5	226.8326087
76084	-4.83	226.5695652
76162	-5.23	226.3065217
76239	-4.37	226.0434783
76313	-4.05	225.7804348
76388	-4.8	225.5173913
76465	-5.08	225.2543478
76543	-5.16	224.9913043
76622	-5.22	224.7282609
76700	-4.92	224.4652174
76777	-4.67	224.2021739
76854	-5.09	223.9391304
76933	-5.5	223.676087
77014	-5.47	223.4130435
